Symptom1,Symptom2,Symptom3,Disease
Wheezing,Swollen glands,Fatigue,Glaucoma_129560
Sore throat,Chills,Fever,Migraine_218053
Tingling,Abdominal pain,Runny nose,Gastroenteritis_272757
Runny nose,Hearing loss,Muscle pain,Scabies_556729
Joint pain,Hair loss,Weight loss,Lupus_680876
Night sweats,Back pain,Runny nose,Thalassemia_609357
Swollen glands,Dizziness,Back pain,COVID-19_875569
Muscle pain,Chills,Back pain,Jaundice_723286
Back pain,Runny nose,Constipation,Psoriasis_30027
Shortness of breath,Runny nose,Rash,Hepatitis A_257612
Weight loss,Cough,Chills,Tuberculosis_334608
Weight loss,Fever,Swollen glands,Hepatitis B_485511
Diarrhea,Insomnia,Muscle pain,Hepatitis A_411160
Insomnia,Itchy skin,Jaundice,Meningitis_470612
Jaundice,Itchy skin,Shortness of breath,Measles_592879
Sore throat,Depression,Red eyes,Tetanus_852880
Nausea,Hearing loss,Headache,Glaucoma_383848
Joint pain,Tremors,Night sweats,Epilepsy_904612
Chills,Abdominal pain,Itchy skin,HIV/AIDS_696788
Abdominal pain,Muscle pain,Joint pain,Gastroenteritis_802585
Red eyes,Back pain,Chest pain,Tetanus_830570
Dizziness,Swollen glands,Fatigue,Hepatitis B_303581
Vomiting,Rash,Constipation,Dengue_726072
Insomnia,Tremors,Anxiety,Gonorrhea_644025
Wheezing,Tremors,Swollen glands,Hypertension_215788
Blurred vision,Joint pain,Dry mouth,Scabies_135461
Rash,Dry mouth,Fever,Psoriasis_478757
Sore throat,Back pain,Loss of appetite,Hepatitis B_690947
Chills,Back pain,Sweating,Cholera_374597
Sneezing,Chills,Dizziness,Migraine_335215
Depression,Muscle pain,Cough,Tetanus_961854
Constipation,Shortness of breath,Weight loss,Multiple Sclerosis_317434
Diarrhea,Rash,Wheezing,Lupus_845602
Tingling,Hearing loss,Rash,Rabies_11122
Dry mouth,Tingling,Back pain,Bronchitis_30376
Rash,Chills,Dizziness,Multiple Sclerosis_999154
Jaundice,Weight loss,Runny nose,Vertigo_493257
Palpitations,Blurred vision,Fever,Chickenpox_61467
Fatigue,Vomiting,Blurred vision,Anemia_804094
Fever,Itchy skin,Sneezing,Cholera_709109
Shortness of breath,Rash,Hair loss,Thalassemia_567865
Hair loss,Palpitations,Depression,Chikungunya_139674
Red eyes,Abdominal pain,Dizziness,Influenza_50146
Insomnia,Palpitations,Fever,Bronchitis_160878
Back pain,Runny nose,Chest pain,Tetanus_405024
Swollen glands,Headache,Sweating,Celiac Disease_135855
Chills,Back pain,Loss of appetite,Asthma_651041
Cough,Red eyes,Chest pain,Thalassemia_707751
Vomiting,Blurred vision,Rash,Diabetes_575829
Tremors,Diarrhea,Red eyes,Arthritis_556293
Tremors,Fever,Cough,Ulcerative Colitis_826157
Chills,Sneezing,Dry mouth,Bronchitis_452150
Sore throat,Chest pain,Hair loss,Ulcerative Colitis_295915
Blurred vision,Headache,Itchy skin,Migraine_824977
Anxiety,Tremors,Diarrhea,Tuberculosis_585354
Hair loss,Dry mouth,Anxiety,Meningitis_542188
Abdominal pain,Nausea,Depression,Glaucoma_353212
Dry mouth,Dizziness,Rash,Epilepsy_228136
Fatigue,Swollen glands,Back pain,Glaucoma_200032
Depression,Rash,Insomnia,Zika Virus_653982
Runny nose,Jaundice,Abdominal pain,Meningitis_140148
Chest pain,Wheezing,Palpitations,Celiac Disease_415949
Joint pain,Vomiting,Dry mouth,Gonorrhea_43173
Night sweats,Tingling,Shortness of breath,Zika Virus_893780
Fatigue,Night sweats,Chills,Hepatitis B_976745
Fever,Tingling,Cough,Rabies_196732
Sweating,Blurred vision,Cough,Asthma_755093
Runny nose,Wheezing,Dry mouth,Depression_949047
Hearing loss,Dry mouth,Swollen glands,Diabetes_28935
Vomiting,Muscle pain,Night sweats,Migraine_599439
Cough,Night sweats,Loss of appetite,Vertigo_349599
Red eyes,Loss of appetite,Chest pain,HIV/AIDS_307214
Cough,Headache,Depression,Hepatitis A_909340
Tremors,Chest pain,Back pain,Pneumonia_120023
Swollen glands,Nausea,Hearing loss,Tetanus_797588
Loss of appetite,Cough,Diarrhea,Lupus_69582
Chest pain,Sore throat,Blurred vision,Anemia_616828
Wheezing,Insomnia,Headache,Migraine_776263
Anxiety,Itchy skin,Dry mouth,Ulcerative Colitis_630427
Depression,Tingling,Chest pain,Syphilis_13149
Vomiting,Palpitations,Chest pain,HIV/AIDS_897164
Hair loss,Dry mouth,Rash,Glaucoma_183104
Rash,Dry mouth,Hearing loss,Syphilis_864333
Abdominal pain,Wheezing,Jaundice,Mononucleosis_647253
Night sweats,Constipation,Cough,Conjunctivitis_500040
Back pain,Swollen glands,Anxiety,Bronchitis_758924
Dry mouth,Hearing loss,Hair loss,Tuberculosis_356918
Cough,Abdominal pain,Shortness of breath,Psoriasis_675223
Rash,Constipation,Blurred vision,Cholera_511907
Vomiting,Wheezing,Dizziness,Psoriasis_371347
Loss of appetite,Palpitations,Shortness of breath,Arthritis_186591
Swollen glands,Itchy skin,Runny nose,Conjunctivitis_935798
Insomnia,Sneezing,Red eyes,Malaria_609001
Itchy skin,Hearing loss,Sore throat,Dengue_33404
Headache,Runny nose,Hair loss,Glaucoma_724984
Sore throat,Sweating,Abdominal pain,Vertigo_138045
Cough,Blurred vision,Back pain,Tonsillitis_315096
Sneezing,Red eyes,Joint pain,Mononucleosis_988067
Tremors,Fatigue,Abdominal pain,Scabies_41437
Runny nose,Dizziness,Wheezing,Diabetes_833383
Depression,Shortness of breath,Sneezing,Arthritis_61885
Joint pain,Dizziness,Fatigue,Epilepsy_99382
Runny nose,Nausea,Hearing loss,Ulcerative Colitis_317719
Tremors,Back pain,Chills,COVID-19_626387
Muscle pain,Joint pain,Dry mouth,HIV/AIDS_942566
Dizziness,Sore throat,Blurred vision,Asthma_964899
Muscle pain,Chills,Night sweats,Celiac Disease_99377
Sweating,Shortness of breath,Red eyes,Ulcerative Colitis_383637
Fatigue,Abdominal pain,Headache,Diabetes_357007
Sweating,Sneezing,Insomnia,Gastroenteritis_632385
Itchy skin,Weight loss,Tremors,Pneumonia_552699
Dry mouth,Vomiting,Palpitations,Meningitis_534138
Muscle pain,Anxiety,Loss of appetite,Epilepsy_579576
Depression,Shortness of breath,Dizziness,Depression_535323
Joint pain,Chest pain,Vomiting,Scabies_72717
Night sweats,Dry mouth,Jaundice,Cholera_145011
Hair loss,Sweating,Tingling,Depression_515359
Chills,Insomnia,Headache,Depression_383753
Headache,Chest pain,Tremors,Dengue_192288
Rash,Insomnia,Constipation,Pneumonia_476247
Wheezing,Muscle pain,Weight loss,Typhoid_674324
Rash,Hearing loss,Palpitations,Meningitis_50126
Nausea,Weight loss,Dry mouth,Hepatitis B_121697
Itchy skin,Fatigue,Sneezing,Dengue_36164
Chills,Sneezing,Constipation,Pneumonia_763609
Runny nose,Hair loss,Insomnia,Leprosy_309195
Muscle pain,Swollen glands,Joint pain,Syphilis_493481
Diarrhea,Depression,Cough,Typhoid_170394
Anxiety,Sweating,Runny nose,Asthma_499609
Sweating,Tingling,Shortness of breath,Celiac Disease_885977
Chills,Tremors,Wheezing,Epilepsy_620562
Hearing loss,Wheezing,Night sweats,Depression_919469
Hair loss,Loss of appetite,Palpitations,Mononucleosis_83937
Rash,Muscle pain,Vomiting,Tetanus_551350
Runny nose,Chills,Tingling,Chickenpox_17859
Palpitations,Vomiting,Loss of appetite,Thalassemia_301065
Muscle pain,Hearing loss,Hair loss,HIV/AIDS_707920
Sore throat,Shortness of breath,Dry mouth,Rabies_628396
Hearing loss,Itchy skin,Hair loss,Vertigo_539119
Swollen glands,Tingling,Sweating,Typhoid_884084
Chest pain,Chills,Dizziness,Cholera_533251
Insomnia,Sneezing,Chest pain,Lupus_296776
Sore throat,Red eyes,Rash,Meningitis_930152
Muscle pain,Sweating,Diarrhea,Hypertension_345048
Vomiting,Diarrhea,Anxiety,Leprosy_30757
Chest pain,Sore throat,Red eyes,Asthma_559823
Vomiting,Jaundice,Nausea,Zika Virus_226182
Tremors,Abdominal pain,Chest pain,Tuberculosis_794700
Headache,Chills,Sore throat,Dengue_596996
Sneezing,Cough,Wheezing,Dengue_914856
Dry mouth,Vomiting,Blurred vision,Lupus_589842
Palpitations,Sweating,Night sweats,Pneumonia_114503
Chills,Sweating,Jaundice,Hepatitis B_264987
Night sweats,Fatigue,Itchy skin,Malaria_973137
Cough,Abdominal pain,Sore throat,Vertigo_613869
Diarrhea,Hair loss,Insomnia,Diabetes_907305
Sneezing,Chest pain,Night sweats,Thalassemia_635163
Palpitations,Sneezing,Weight loss,Chickenpox_548929
Night sweats,Red eyes,Wheezing,Hypertension_488660
Fatigue,Fever,Runny nose,Gastroenteritis_234393
Chest pain,Wheezing,Anxiety,Anemia_749630
Loss of appetite,Runny nose,Sweating,Diabetes_222503
Hearing loss,Cough,Palpitations,Ulcerative Colitis_622423
Chills,Insomnia,Palpitations,Scabies_785395
Runny nose,Loss of appetite,Nausea,Hypertension_733978
Back pain,Blurred vision,Palpitations,Pneumonia_106775
Anxiety,Cough,Tingling,Psoriasis_313801
Vomiting,Muscle pain,Chest pain,Gastroenteritis_358547
Depression,Dry mouth,Blurred vision,COVID-19_12609
Back pain,Depression,Dry mouth,Chickenpox_502745
Swollen glands,Headache,Cough,Tetanus_940510
Blurred vision,Sweating,Loss of appetite,Chickenpox_157699
Tremors,Fever,Night sweats,Vertigo_163023
Insomnia,Sneezing,Depression,Lupus_507962
Sore throat,Muscle pain,Dizziness,Hepatitis A_756160
Loss of appetite,Jaundice,Tremors,Jaundice_581468
Red eyes,Palpitations,Chills,Vertigo_355809
Sore throat,Night sweats,Red eyes,COVID-19_468883
Hearing loss,Fatigue,Swollen glands,Measles_466977
Sore throat,Anxiety,Fatigue,Mononucleosis_556219
Chills,Sore throat,Abdominal pain,Arthritis_79595
Tremors,Night sweats,Jaundice,Bronchitis_884412
Itchy skin,Cough,Runny nose,Asthma_347303
Sweating,Vomiting,Runny nose,Tuberculosis_805142
Wheezing,Sore throat,Runny nose,Meningitis_740494
Muscle pain,Vomiting,Palpitations,Influenza_978978
Abdominal pain,Headache,Itchy skin,Bronchitis_372616
Red eyes,Back pain,Fatigue,Anemia_31386
Red eyes,Rash,Palpitations,Pneumonia_242475
Palpitations,Loss of appetite,Wheezing,Meningitis_197786
Dizziness,Headache,Weight loss,Meningitis_954210
Joint pain,Diarrhea,Anxiety,Zika Virus_990334
Tremors,Cough,Fever,Asthma_422191
Itchy skin,Abdominal pain,Wheezing,Gonorrhea_313929
Headache,Cough,Loss of appetite,Lupus_719516
Runny nose,Hair loss,Nausea,Hypertension_150514
Sweating,Depression,Anxiety,Multiple Sclerosis_268950
Shortness of breath,Back pain,Cough,Influenza_799348
Swollen glands,Nausea,Constipation,Malaria_119929
Shortness of breath,Cough,Constipation,Psoriasis_151007
Hearing loss,Shortness of breath,Constipation,Chickenpox_769269
Sweating,Runny nose,Fever,Gastroenteritis_936307
Sweating,Rash,Shortness of breath,Hepatitis A_226884
Runny nose,Weight loss,Insomnia,Glaucoma_959768
Sweating,Chest pain,Depression,Cholera_860771
Wheezing,Muscle pain,Hair loss,Tetanus_887150
Loss of appetite,Runny nose,Anxiety,Hypertension_956112
Itchy skin,Sweating,Insomnia,Diabetes_591561
Sweating,Sneezing,Vomiting,Epilepsy_827056
Tingling,Rash,Loss of appetite,Epilepsy_864592
Sneezing,Hair loss,Fever,Influenza_828052
Tremors,Swollen glands,Hearing loss,Tuberculosis_866138
Swollen glands,Diarrhea,Anxiety,Rabies_655444
Abdominal pain,Chest pain,Muscle pain,Anemia_819872
Cough,Dizziness,Abdominal pain,Dengue_916098
Loss of appetite,Insomnia,Sweating,Typhoid_66250
Runny nose,Weight loss,Muscle pain,Conjunctivitis_702164
Sneezing,Headache,Back pain,Asthma_841159
Hair loss,Anxiety,Tingling,Tetanus_543668
Chest pain,Dizziness,Wheezing,Sinusitis_726608
Diarrhea,Hair loss,Insomnia,Syphilis_649375
Vomiting,Joint pain,Swollen glands,Thalassemia_260355
Muscle pain,Weight loss,Back pain,Bronchitis_64968
Fatigue,Depression,Tremors,Rabies_413070
Joint pain,Tremors,Headache,Dengue_140032
Headache,Dry mouth,Sneezing,Dengue_629012
Chest pain,Joint pain,Chills,UTI_956844
Jaundice,Muscle pain,Itchy skin,Pneumonia_360143
Depression,Vomiting,Fatigue,Bronchitis_618210
Hair loss,Sore throat,Constipation,Meningitis_557138
Weight loss,Joint pain,Nausea,Lupus_15302
Runny nose,Insomnia,Shortness of breath,Vertigo_372323
Sneezing,Wheezing,Blurred vision,Chickenpox_108847
Sweating,Jaundice,Chills,Vertigo_780205
Shortness of breath,Dizziness,Dry mouth,Malaria_916695
Night sweats,Muscle pain,Sore throat,Jaundice_674664
Sore throat,Joint pain,Nausea,Depression_392861
Joint pain,Depression,Abdominal pain,Malaria_397447
Dizziness,Muscle pain,Chest pain,Epilepsy_338214
Tingling,Jaundice,Muscle pain,Hypertension_787016
Muscle pain,Sore throat,Weight loss,Psoriasis_88355
Vomiting,Itchy skin,Dry mouth,Vertigo_459401
Wheezing,Diarrhea,Itchy skin,Thalassemia_720171
Cough,Sneezing,Insomnia,Gastroenteritis_165807
Hearing loss,Tingling,Back pain,Leprosy_727335
Hair loss,Headache,Weight loss,Ulcerative Colitis_875469
Back pain,Swollen glands,Sneezing,Dengue_497130
Sore throat,Jaundice,Red eyes,Glaucoma_401788
Diarrhea,Itchy skin,Loss of appetite,Ulcerative Colitis_121023
Fever,Abdominal pain,Sneezing,Glaucoma_128870
Night sweats,Shortness of breath,Sore throat,Zika Virus_972992
Joint pain,Weight loss,Shortness of breath,COVID-19_850867
Back pain,Fatigue,Loss of appetite,UTI_309762
Fatigue,Night sweats,Weight loss,Multiple Sclerosis_187576
Rash,Back pain,Sore throat,Leprosy_31907
Sneezing,Dry mouth,Sore throat,Ulcerative Colitis_647171
Nausea,Sweating,Cough,Conjunctivitis_521568
Weight loss,Headache,Swollen glands,Mononucleosis_137987
Dry mouth,Blurred vision,Palpitations,UTI_203640
Headache,Loss of appetite,Hearing loss,Cholera_706487
Back pain,Muscle pain,Dry mouth,Influenza_299604
Wheezing,Night sweats,Vomiting,Tonsillitis_887060
Depression,Chest pain,Tingling,Chickenpox_983537
Rash,Wheezing,Chest pain,Diabetes_963655
Nausea,Chest pain,Hair loss,Glaucoma_155228
Tremors,Weight loss,Chest pain,Asthma_448089
Anxiety,Sneezing,Hearing loss,Lupus_464676
Sweating,Tremors,Runny nose,Celiac Disease_419583
Palpitations,Sweating,Depression,Multiple Sclerosis_359018
Cough,Hearing loss,Loss of appetite,Tuberculosis_882882
Tremors,Muscle pain,Fever,Psoriasis_290065
Night sweats,Palpitations,Rash,Chickenpox_634029
Dry mouth,Joint pain,Itchy skin,Influenza_465480
Itchy skin,Night sweats,Swollen glands,Tonsillitis_908220
Shortness of breath,Hair loss,Rash,Gonorrhea_275703
Sneezing,Red eyes,Palpitations,Jaundice_615968
Swollen glands,Fatigue,Abdominal pain,Tetanus_740548
Anxiety,Joint pain,Back pain,Sinusitis_380596
Muscle pain,Red eyes,Insomnia,Multiple Sclerosis_382110
Shortness of breath,Diarrhea,Insomnia,Typhoid_705282
Anxiety,Fatigue,Hearing loss,Epilepsy_789336
Joint pain,Wheezing,Shortness of breath,Migraine_873369
Fatigue,Wheezing,Blurred vision,HIV/AIDS_842240
Muscle pain,Sneezing,Vomiting,Measles_253859
Chills,Night sweats,Red eyes,Tetanus_848694
Dizziness,Wheezing,Vomiting,Tetanus_164628
Swollen glands,Rash,Dry mouth,Hepatitis B_300959
Abdominal pain,Loss of appetite,Blurred vision,Hepatitis A_860304
Depression,Tingling,Loss of appetite,Tetanus_795058
Depression,Loss of appetite,Fatigue,Tuberculosis_667096
Anxiety,Chest pain,Dizziness,Influenza_271498
Tremors,Shortness of breath,Depression,Depression_491255
Swollen glands,Chest pain,Wheezing,Vertigo_151845
Cough,Sore throat,Sweating,COVID-19_628871
Sweating,Weight loss,Headache,Diabetes_482955
Dizziness,Jaundice,Night sweats,HIV/AIDS_136462
Hair loss,Rash,Chills,Multiple Sclerosis_613858
Red eyes,Itchy skin,Dry mouth,Psoriasis_296919
Hair loss,Night sweats,Rash,Typhoid_559876
Night sweats,Constipation,Hair loss,Chikungunya_736754
Back pain,Wheezing,Jaundice,Gonorrhea_652075
Tremors,Dry mouth,Chills,Tuberculosis_308342
Chills,Tremors,Tingling,Hypertension_248310
Nausea,Chest pain,Hearing loss,Sinusitis_453046
Runny nose,Weight loss,Shortness of breath,Sinusitis_592518
Wheezing,Constipation,Chest pain,Diabetes_479183
Back pain,Fatigue,Shortness of breath,Meningitis_1688
Anxiety,Sweating,Hearing loss,Hypertension_116106
Diarrhea,Muscle pain,Hearing loss,Zika Virus_890330
Blurred vision,Weight loss,Tremors,Meningitis_719012
Chest pain,Tremors,Palpitations,Glaucoma_690530
Joint pain,Hair loss,Sore throat,Ulcerative Colitis_627207
Runny nose,Shortness of breath,Abdominal pain,Tuberculosis_95270
Vomiting,Sore throat,Anxiety,Typhoid_943516
Wheezing,Jaundice,Vomiting,Pneumonia_131891
Blurred vision,Rash,Shortness of breath,Celiac Disease_270405
Fatigue,Shortness of breath,Vomiting,Migraine_192937
Wheezing,Constipation,Abdominal pain,Malaria_24203
Blurred vision,Runny nose,Diarrhea,UTI_17248
Muscle pain,Sneezing,Hair loss,Syphilis_372685
Headache,Constipation,Tingling,UTI_122128
Back pain,Joint pain,Tingling,Arthritis_562871
Dry mouth,Shortness of breath,Jaundice,Conjunctivitis_877286
Sneezing,Nausea,Hair loss,Hepatitis B_804797
Nausea,Dry mouth,Cough,Psoriasis_960147
Sore throat,Sneezing,Wheezing,Scabies_218491
Depression,Tremors,Runny nose,Sinusitis_828866
Wheezing,Hair loss,Shortness of breath,Meningitis_780008
Tingling,Red eyes,Abdominal pain,Vertigo_374439
Cough,Wheezing,Back pain,Hepatitis B_98145
Tingling,Red eyes,Cough,Asthma_658033
Wheezing,Headache,Fever,Hypertension_543538
Sneezing,Depression,Night sweats,Pneumonia_553067
Anxiety,Back pain,Depression,Celiac Disease_987223
Blurred vision,Rash,Tingling,Psoriasis_980663
Muscle pain,Nausea,Dizziness,Hypertension_118912
Chills,Fatigue,Vomiting,Rabies_941932
Red eyes,Fatigue,Vomiting,Gonorrhea_827565
Sore throat,Hair loss,Fatigue,Epilepsy_512324
Sneezing,Cough,Rash,Chikungunya_409326
Tremors,Hair loss,Weight loss,Tuberculosis_293714
Itchy skin,Cough,Tremors,Bronchitis_367924
Fatigue,Joint pain,Hearing loss,Anemia_23842
Tremors,Palpitations,Swollen glands,Gonorrhea_236833
Jaundice,Abdominal pain,Wheezing,Bronchitis_33320
Night sweats,Muscle pain,Sneezing,Malaria_401633
Weight loss,Palpitations,Swollen glands,Meningitis_896066
Anxiety,Sweating,Muscle pain,Hepatitis B_14931
Cough,Sweating,Fatigue,Pneumonia_354623
Nausea,Blurred vision,Anxiety,Rabies_541272
Constipation,Red eyes,Shortness of breath,UTI_822846
Constipation,Sneezing,Vomiting,Zika Virus_240074
Palpitations,Headache,Constipation,Pneumonia_676255
Blurred vision,Dizziness,Cough,Measles_97045
Back pain,Sore throat,Vomiting,Tetanus_68442
Swollen glands,Nausea,Constipation,Tuberculosis_963934
Wheezing,Sneezing,Shortness of breath,Bronchitis_992098
Muscle pain,Hearing loss,Vomiting,Tetanus_922340
Joint pain,Insomnia,Hearing loss,Zika Virus_708170
Palpitations,Back pain,Sneezing,Thalassemia_135143
Shortness of breath,Loss of appetite,Blurred vision,Rabies_425904
Hair loss,Chills,Sore throat,Dengue_901286
Muscle pain,Red eyes,Back pain,Depression_389779
Blurred vision,Chills,Rash,Bronchitis_349616
Itchy skin,Blurred vision,Sneezing,Leprosy_362969
Chest pain,Fatigue,Loss of appetite,Hypertension_68542
Runny nose,Sweating,Red eyes,Glaucoma_575530
Joint pain,Sweating,Insomnia,Chikungunya_452014
Chest pain,Wheezing,Dizziness,Pneumonia_128809
Sweating,Abdominal pain,Red eyes,Tetanus_67200
Headache,Depression,Tingling,Gonorrhea_267147
Palpitations,Dry mouth,Anxiety,Asthma_534799
Hair loss,Vomiting,Insomnia,Tonsillitis_946630
Runny nose,Anxiety,Cough,Multiple Sclerosis_909868
Shortness of breath,Sweating,Red eyes,Asthma_555913
Tremors,Hearing loss,Chills,Asthma_101617
Weight loss,Abdominal pain,Loss of appetite,Cholera_763159
Depression,Joint pain,Chest pain,HIV/AIDS_798172
Sore throat,Chills,Swollen glands,Hepatitis A_692082
Red eyes,Chest pain,Dizziness,Chikungunya_238298
Shortness of breath,Runny nose,Back pain,Conjunctivitis_135996
Rash,Itchy skin,Jaundice,Zika Virus_431756
Shortness of breath,Back pain,Hair loss,Syphilis_327375
Chills,Depression,Vomiting,Multiple Sclerosis_692564
Tingling,Itchy skin,Depression,Multiple Sclerosis_533772
Diarrhea,Hearing loss,Fever,Meningitis_53346
Abdominal pain,Joint pain,Tremors,Multiple Sclerosis_426730
Fever,Night sweats,Red eyes,Ulcerative Colitis_653795
Diarrhea,Itchy skin,Constipation,UTI_310498
Fatigue,Fever,Diarrhea,COVID-19_766273
Chest pain,Constipation,Wheezing,Arthritis_977193
Wheezing,Sweating,Chills,Typhoid_467968
Tingling,Depression,Cough,Gastroenteritis_141289
Shortness of breath,Dizziness,Chills,Psoriasis_655949
Constipation,Cough,Wheezing,Depression_325471
Cough,Sweating,Hearing loss,Gastroenteritis_347829
Sneezing,Loss of appetite,Joint pain,Sinusitis_119132
Tingling,Constipation,Red eyes,Meningitis_479444
Rash,Runny nose,Palpitations,Conjunctivitis_263600
Dry mouth,Depression,Muscle pain,Arthritis_709887
Diarrhea,Depression,Weight loss,Glaucoma_96900
Back pain,Dry mouth,Joint pain,Migraine_176055
Chills,Depression,Insomnia,Hepatitis B_846979
Back pain,Itchy skin,Anxiety,Gastroenteritis_259141
Back pain,Dizziness,Abdominal pain,COVID-19_751139
Blurred vision,Runny nose,Abdominal pain,Thalassemia_554433
Tremors,Jaundice,Fever,Bronchitis_950560
Joint pain,Rash,Wheezing,Hypertension_186
Sneezing,Diarrhea,Sweating,Asthma_889873
Jaundice,Sneezing,Red eyes,HIV/AIDS_573186
Abdominal pain,Depression,Fever,Tonsillitis_99034
Rash,Muscle pain,Nausea,Mononucleosis_552125
Night sweats,Vomiting,Muscle pain,Lupus_533078
Depression,Jaundice,Tremors,Tuberculosis_707438
Cough,Wheezing,Back pain,Tuberculosis_678688
Insomnia,Sneezing,Hearing loss,Conjunctivitis_450912
Dizziness,Shortness of breath,Wheezing,Zika Virus_257278
Tingling,Muscle pain,Diarrhea,Celiac Disease_334299
Swollen glands,Loss of appetite,Sneezing,Mononucleosis_720393
Nausea,Sweating,Chest pain,Epilepsy_115804
Runny nose,Tingling,Night sweats,Meningitis_366606
Dizziness,Runny nose,Red eyes,Hypertension_136346
Hair loss,Rash,Sneezing,Scabies_892897
Chills,Hearing loss,Sneezing,Chickenpox_854599
Jaundice,Runny nose,Chest pain,Pneumonia_918675
Abdominal pain,Red eyes,Loss of appetite,Rabies_646152
Runny nose,Night sweats,Red eyes,Hypertension_226690
Tremors,Jaundice,Blurred vision,Chikungunya_471288
Itchy skin,Tingling,Back pain,Epilepsy_369172
Shortness of breath,Constipation,Chills,Chickenpox_349427
Dizziness,Joint pain,Cough,Anemia_963254
Insomnia,Sneezing,Chest pain,Anemia_367278
Abdominal pain,Muscle pain,Wheezing,Thalassemia_441641
Red eyes,Wheezing,Vomiting,Rabies_64482
Jaundice,Night sweats,Fatigue,Lupus_83428
Swollen glands,Wheezing,Dry mouth,Anemia_418936
Sneezing,Blurred vision,Fever,Depression_823881
Sore throat,Vomiting,Sweating,Vertigo_268869
Night sweats,Joint pain,Loss of appetite,Tetanus_1420
Hearing loss,Constipation,Insomnia,Tetanus_899800
Jaundice,Tingling,Abdominal pain,Leprosy_71973
Tremors,Wheezing,Chills,Tetanus_502038
Fatigue,Itchy skin,Chest pain,Rabies_43138
Chest pain,Joint pain,Diarrhea,Zika Virus_965218
Weight loss,Fever,Joint pain,Conjunctivitis_126152
Headache,Constipation,Muscle pain,Meningitis_336154
Wheezing,Red eyes,Sneezing,Sinusitis_851084
Chest pain,Headache,Palpitations,Vertigo_884855
Fever,Weight loss,Diarrhea,Gastroenteritis_496179
Loss of appetite,Vomiting,Nausea,Tuberculosis_221540
Blurred vision,Dry mouth,Sneezing,Migraine_106365
Fever,Wheezing,Back pain,Gastroenteritis_561637
Joint pain,Dry mouth,Headache,Thalassemia_848695
Muscle pain,Fever,Diarrhea,Chickenpox_831783
Night sweats,Sore throat,Vomiting,Arthritis_858191
Palpitations,Jaundice,Shortness of breath,Vertigo_419749
Abdominal pain,Anxiety,Jaundice,Celiac Disease_618809
Fever,Rash,Shortness of breath,Pneumonia_861681
Fatigue,Loss of appetite,Abdominal pain,Conjunctivitis_912154
Swollen glands,Cough,Chills,Cholera_655473
Night sweats,Runny nose,Diarrhea,Celiac Disease_894165
Fatigue,Back pain,Sneezing,Multiple Sclerosis_320470
Chills,Dry mouth,Tingling,Dengue_908462
Cough,Vomiting,Hearing loss,Hepatitis A_758092
Nausea,Sweating,Palpitations,Thalassemia_661245
Insomnia,Joint pain,Rash,Tonsillitis_870684
Insomnia,Loss of appetite,Nausea,Hypertension_463958
Muscle pain,Red eyes,Runny nose,Tonsillitis_765850
Red eyes,Night sweats,Itchy skin,Vertigo_367493
Chest pain,Dry mouth,Itchy skin,Asthma_441603
Constipation,Loss of appetite,Abdominal pain,Syphilis_116603
Diarrhea,Chills,Nausea,Psoriasis_944645
Sneezing,Diarrhea,Hair loss,COVID-19_335253
Fatigue,Headache,Insomnia,Mononucleosis_349311
Sweating,Dizziness,Palpitations,Dengue_716044
Tingling,Hair loss,Hearing loss,Conjunctivitis_211160
Nausea,Back pain,Cough,Celiac Disease_344465
Sneezing,Runny nose,Depression,Zika Virus_324944
Palpitations,Dizziness,Dry mouth,Asthma_55663
Insomnia,Shortness of breath,Itchy skin,Gastroenteritis_139081
Jaundice,Night sweats,Shortness of breath,Conjunctivitis_913764
Vomiting,Anxiety,Itchy skin,Arthritis_155311
Sneezing,Wheezing,Fever,Conjunctivitis_304816
Tingling,Headache,Joint pain,Measles_533263
Chest pain,Insomnia,Sore throat,Meningitis_7346
Headache,Runny nose,Abdominal pain,Influenza_195368
Chest pain,Itchy skin,Swollen glands,Hepatitis A_209956
Sneezing,Red eyes,Blurred vision,Rabies_518640
Night sweats,Chest pain,Fatigue,COVID-19_827131
Vomiting,Rash,Jaundice,Conjunctivitis_562922
Shortness of breath,Sneezing,Dry mouth,Tuberculosis_414878
Tremors,Back pain,Insomnia,Thalassemia_18901
Anxiety,Sore throat,Chills,Influenza_569716
Fever,Cough,Anxiety,Rabies_114070
Tingling,Sweating,Back pain,Zika Virus_958824
Tingling,Fatigue,Abdominal pain,Lupus_735064
Constipation,Palpitations,Sneezing,Lupus_759996
Fatigue,Nausea,Itchy skin,Syphilis_238089
Red eyes,Runny nose,Sore throat,Measles_158593
Blurred vision,Cough,Constipation,Depression_404729
Chest pain,Jaundice,Night sweats,Mononucleosis_504561
Hearing loss,Fatigue,Depression,Sinusitis_692614
Constipation,Dry mouth,Runny nose,Influenza_28388
Anxiety,Night sweats,Shortness of breath,Bronchitis_327076
Wheezing,Insomnia,Sore throat,Mononucleosis_966079
Nausea,Sore throat,Loss of appetite,Gonorrhea_570839
Weight loss,Anxiety,Runny nose,Meningitis_350736
Joint pain,Hearing loss,Red eyes,Asthma_188649
Blurred vision,Loss of appetite,Tremors,Pneumonia_763011
Insomnia,Itchy skin,Runny nose,Jaundice_955494
Red eyes,Hair loss,Constipation,Arthritis_810397
